,year,title,ratings,madeit,reviews,photos,submitter_description,ingredients,readyin,servings,nutrition,calories,fat,carbohydrate,protein,carbohydrates,instructions
411,,Air Fryer Hard-Boiled Eggs,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7623784.jpg,,['6 eggs'],0,6 hard-boiled eggs,"          71.5 calories;           6.3 g protein;           0.4 g carbohydrates;           186 mg cholesterol;           70 mg sodium.        Full Nutrition
",,,,,,"Preheat an air fryer to 250 degrees F (120 degrees C).

Place eggs in the air fryer basket.

Cook eggs for 15 minutes. Remove eggs and place in a cold water bath until fully cooled, 8 to 10 minutes.
"
412,,Roasted Tomato Sauce,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5615048.jpg,,"['1 pound roma (plum) tomatoes, halved and seeded', '2 cloves garlic, peeled', '1 tablespoon olive oil', '1 pinch salt and freshly ground black pepper to taste', '10 leaves basil, torn']",0,2 servings,"          105.6 calories;           2.3 g protein;           10 g carbohydrates;           0 mg cholesterol;           89.6 mg sodium.        Full Nutrition
",,,,,,"Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper or aluminum foil.

Place tomato halves skin-side down on the prepared baking sheet. Add garlic cloves. Evenly drizzle tomatoes and garlic with olive oil and season with salt and pepper.

Roast in the preheated oven until tomatoes are bubbling, about 25 minutes. Increase heat to 425 degrees F (220 degrees C). Roast until tomatoes just begin to brown, 10 more minutes. Turn off the heat. Let tomatoes sit in the hot oven with the door closed until further caramelized, about 5 minutes.

Transfer roasted tomatoes and garlic to a bowl. Add basil and use a wooden spoon to crush the mixture and break apart the tomatoes, leaving them a bit chunky. Remove peels, if desired. Serve over your favorite cooked pasta.
"
413,,Quick Keto Chocolate Mousse,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6360856.jpg,,"['3 ounces cream cheese, softened', '½ cup heavy cream', '1 teaspoon vanilla extract', '¼ cup powdered zero-calorie sweetener (such as Swerve®)', '2 tablespoons cocoa powder', '1 pinch salt']",0,2 servings,"          373.4 calories;           5.4 g protein;           6.9 g carbohydrates;           128.3 mg cholesterol;           227.2 mg sodium.        Full Nutrition
",,,,,,"Place cream cheese in a large bowl and beat using an electric mixer until light and fluffy. Turn mixer to low speed and slowly add heavy cream and vanilla extract. Add sweetener, cocoa powder and salt, mixing until well incorporated.  Turn mixer to high, and mix until light and fluffy, 1 to 2 minutes more. Serve immediately, or refrigerate for later.
"
414,,Keto Breakfast Frittata,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7164615.jpg,,"['4 ounces bulk breakfast sausage', '8 eggs', '2 tablespoons heavy cream', '8 drops hot pepper sauce (such as Tabasco®), or more to taste', '2 tablespoons butter', '1 cup chopped mushrooms', '⅔ cup chopped red bell pepper', '½ cup chopped onion', '1 pinch salt and ground black pepper to taste', '½ cup chopped fresh spinach', '1 cup shredded Cheddar cheese']",0,1 12-inch frittata,"          283.4 calories;           16.5 g protein;           3.8 g carbohydrates;           295.4 mg cholesterol;           443 mg sodium.        Full Nutrition
",,,,,,"Preheat the oven to 325 degrees F (165 degrees C).

Crumble sausage into a 12-inch nonstick, oven-proof skillet over medium heat. Cook until browned, about 4 minutes.

Meanwhile, whisk eggs in a large bowl. Add cream and hot pepper sauce; mix well.

Add butter to the skillet with browned sausage and melt around the inside rim of the skillet. Add mushrooms, red bell pepper, onion, salt, and pepper. Cook until onion is soft and translucent, about 4 minutes. Turn off heat and stir in spinach. Cook for 1 minute in hot skillet, then sprinkle with Cheddar cheese. Pour egg mixture on top, making sure all the ingredients are submerged.

Place skillet in the preheated oven and bake until eggs are set and no longer jiggle, about 20 minutes. Remove from oven and allow to sit for 1 to 2 minutes, before cutting into serving pieces.
"
415,,My Favorite Chicken Salad,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5261952.jpg,,"['2 cooked skinless, boneless chicken breast halves, cut into cubes', '3 stalks celery, finely diced', '¾ cup chopped pecans', '½ cup mayonnaise', '2 tablespoons minced yellow onion', '1 ½ tablespoons sweet pickle relish', '2 teaspoons prepared mustard', '1 ½ teaspoons ground black pepper', '1 ½ teaspoons minced fresh dill', '1 teaspoon lemon juice', '½ teaspoon white sugar', '½ teaspoon salt', '½ teaspoon garlic powder', '½ teaspoon paprika']",0,6 servings,"          287.1 calories;           11 g protein;           5.5 g carbohydrates;           31.4 mg cholesterol;           384.3 mg sodium.        Full Nutrition
",,,,,,"Stir chicken, celery, pecans, mayonnaise, yellow onion, relish, mustard, pepper, dill, lemon juice, sugar, salt, garlic powder, and paprika in a bowl until well combined. Refrigerate at least 1 hour before serving.
"
416,,Air Fryer Lemon Pepper Shrimp,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5619976.jpg,,"['1 tablespoon olive oil', '1 lemon, juiced', '1 teaspoon lemon pepper', '¼ teaspoon paprika', '¼ teaspoon garlic powder', '12 ounces uncooked medium shrimp, peeled and deveined', '1 lemon, sliced']",0,2 servings,"          214.9 calories;           28.9 g protein;           12.6 g carbohydrates;           255.4 mg cholesterol;           528 mg sodium.        Full Nutrition
",,,,,,"Preheat an air fryer to 400 degrees F (200 degrees C).

Combine olive oil, lemon juice, lemon pepper, paprika, and garlic powder in a bowl. Add shrimp and toss until coated.

Place shrimp in the air fryer and cook until pink and firm, 6 to 8 minutes. Serve with lemon slices.
"
417,,Egg White Breakfast Bites,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6527361.jpg,,"['1 serving cooking spray', '1 (16 ounce) carton liquid egg whites', '½ cup low-fat cottage cheese', '¼ teaspoon garlic powder', '¼ teaspoon salt', '⅛ teaspoon ground black pepper', '1 cup packed fresh spinach, finely chopped', '⅓ cup roasted red peppers, drained and chopped', '1 tablespoon fresh basil, minced', '¼ cup crumbled feta cheese']",0,12 breakfast bites,"          56.8 calories;           6.7 g protein;           1.3 g carbohydrates;           5.8 mg cholesterol;           236 mg sodium.        Full Nutrition
",,,,,,"Preheat the oven to 350 degrees F (175 degrees C). Spray a 12-cup muffin pan generously with cooking spray.

Combine egg whites, cottage cheese, garlic powder, salt, and pepper in a blender; blend until smooth, about 15 seconds.

Combine spinach, roasted red peppers, and basil in a bowl. Pour in egg mixture and stir to combine. Ladle the mixture evenly into the muffin cups, filling each about 3/4 full. Top each muffin with 1 teaspoon feta cheese.

Bake in the preheated oven until egg white bites are set, 18 to 20 minutes.
"
418,,Bread Pudding II,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5941077.jpg,,"['6 slices day-old bread', '2 tablespoons butter, melted', '½ cup raisins (optional)', '4 eggs, beaten', '2 cups milk', '¾ cup white sugar', '1 teaspoon ground cinnamon', '1 teaspoon vanilla extract']",75,1 8-inch square pan,"          165 calories;           4.8 g total fat;           70 mg cholesterol;           140 mg sodium.          26.5 g carbohydrates;           4.6 g protein;         Full Nutrition
",,,,,,"Preheat oven to 350 degrees F (175 degrees C).
Break bread into small pieces into an 8 inch square baking pan. Drizzle melted butter or margarine over bread. If desired, sprinkle with raisins.
In a medium mixing bowl, combine eggs, milk, sugar, cinnamon, and vanilla. Beat until well mixed. Pour over bread, and lightly push down with a fork until bread is covered and soaking up the egg mixture.
Bake in the preheated oven for 45 minutes, or until the top springs back when lightly tapped."
419,,Jalapeno Popper Mushrooms,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1822072.jpg,,"['2 slices bacon', '1 serving cooking spray', '1 ½ teaspoons olive oil', '8 mushrooms, stems removed and chopped and caps reserved', '1 clove garlic, minced', '1 jalapeno pepper, ribs and seeds removed, finely chopped', '1 (3 ounce) package cream cheese, softened', '3 tablespoons shredded Cheddar cheese', '1 pinch sea salt to taste', '1 pinch ground black pepper to taste']",0,8 mushrooms,"          150.8 calories;           6.1 g protein;           2.5 g carbohydrates;           34.9 mg cholesterol;           287.7 mg sodium.        Full Nutrition
",,,,,,"Place the bacon in a large, deep skillet, and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain the bacon slices on a paper towel-lined plate. Crumble the bacon slices and set aside.

Preheat an oven to 350 degrees F (175 degrees C). Spray a baking dish with cooking spray.

Heat the olive oil in a skillet over medium heat. Stir in the chopped mushroom stems, garlic, and jalapeno; cook and stir until the mushrooms release moisture and soften, about 10 minutes. Transfer the mushroom mixture to a bowl, and stir in the cream cheese, cheddar cheese, and bacon. Season with salt and pepper. Spoon the cheese mixture generously into the reserved mushroom caps, and arrange the stuffed caps on the prepared baking dish.

Bake in the preheated oven until cheese begins to brown, 15 to 20 minutes.
"
420,,Tortellini Pesto Salad,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3720363.jpg,,"['1 (9 ounce) package cheese tortellini', '1 small red bell pepper, julienned', '¾ cup broccoli florets, blanched', '⅓ cup shredded carrots', '⅓ cup pitted green olives', '1 clove garlic, chopped', '½ cup mayonnaise', '¼ cup prepared basil pesto', '¼ cup milk', '2 tablespoons grated Parmesan cheese', '1 tablespoon olive oil', '1 tablespoon distilled white vinegar', '1 bunch fresh spinach leaves']",0,6 servings,"          382.8 calories;           11.2 g protein;           26.1 g carbohydrates;           31.3 mg cholesterol;           614.6 mg sodium.        Full Nutrition
",,,,,,"Bring a large pot of lightly salted water to a boil. Place tortellini in the pot, and cook for 7 to 8 minutes, until al dente. Drain, and cool.

In a large bowl, mix the cooked tortellini, red bell pepper, broccoli, carrots, olives, and garlic.

In a separate bowl, stir together the mayonnaise, pesto, milk, Parmesan cheese, olive oil, and vinegar. Pour over the tortellini and vegetables, and gently toss to coat. Cover, and place in the refrigerator 1 hour, until chilled. Serve over spinach leaves.
"
421,,Vegan Pumpkin Pie Smoothie,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7205406.jpg,,"['½ cup pumpkin puree', '½ cup almond milk', '½ cup cold water', '1 tablespoon pumpkin syrup (such as Torani®)', '½ teaspoon pumpkin pie spice', '2 packets stevia-erythritol sweetener (such as Truvia®), or to taste', '5 cubes ice']",0,1 smoothie,"          76.5 calories;           1.9 g protein;           16.5 g carbohydrates;           0 mg cholesterol;           384.8 mg sodium.        Full Nutrition
",,,,,,"Combine pumpkin puree, almond milk, water, pumpkin syrup, pumpkin pie spice, and sweetener in a blender. Blend until well combined, 5 to 10 seconds. Add ice cubes and blend until smooth.
"
422,,One-Pot Shrimp Scampi Orzo,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7816212.jpg,,"['1 tablespoon olive oil', '1 teaspoon lemon zest', '1 teaspoon lemon juice', '1 pinch red pepper flakes', '½ teaspoon dried parsley', '½ pound uncooked medium shrimp, peeled and deveined', '1 tablespoon butter', '1 tablespoon olive oil', '¾ cup orzo', '½ cup finely diced onion', '1 large clove garlic, minced', '¼ cup white wine', '1 ¼ cups low-sodium chicken broth', '½ teaspoon salt', '½ teaspoon freshly ground black pepper', '½ cup frozen peas, defrosted', '½ tablespoon chopped fresh parsley', '2 lemon slices']",0,2 servings,"          625.2 calories;           33.7 g protein;           69.5 g carbohydrates;           190.4 mg cholesterol;           942.7 mg sodium.        Full Nutrition
",,,,,,"Combine olive oil, lemon zest, lemon juice, red pepper flakes, and dried parsley in a small bowl. Add shrimp and toss to coat. Marinate for 15 to 20 minutes.

Melt butter in a pot over medium-high heat. Add olive oil. Stir in orzo and onion, toss to coat, and cook, stirring frequently, until onions are translucent and orzo is lightly toasted, 4 to 5 minutes. Mix in garlic and cook until fragrant, about 30 seconds.

Deglaze pot with white wine and stir until wine has cooked off. Pour in chicken broth and season with salt and pepper. Cook, stirring frequently, until orzo is tender yet firm to the bite, 8 to 10 minutes. Add peas and shrimp with marinade to the pot, cover, and cook, stirring occasionally, until shrimp are light pink, 3 to 4 minutes.

Divide between 2 dishes, sprinkle with fresh parsley, and garnish with lemon slices.
"
423,,Keto Bacon Cheeseburger Soup,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5874408.jpg,,"['6 slices bacon', '1 pound lean ground beef (80% lean)', '3 cups reduced-sodium beef broth', '1 cup shredded Cheddar cheese', '4 ounces cream cheese', '2 spears kosher dill pickles, chopped', '3 tablespoons tomato paste', '1 tablespoon steak sauce', '2 teaspoons spicy brown mustard', '1 teaspoon onion powder', '1 teaspoon chili powder', '1 teaspoon ground black pepper', '1 head romaine lettuce, chopped into bite-sized pieces', '6 eaches grape tomatoes, halved', '¼ cup chopped red onion']",0,6 servings,"          387.6 calories;           28.2 g protein;           7.8 g carbohydrates;           103.3 mg cholesterol;           729.4 mg sodium.        Full Nutrition
",,,,,,"Heat a large soup pot over medium-high heat and add bacon. Cook until crisp, about 10 minutes. Transfer to a paper towel-lined plate. Set aside to cool.

Add beef to the soup pot and flatten with a spatula. Cook until bottom is browned, about 5 minutes. Flip and cook other side, about 5 minutes more. Add broth, Cheddar cheese, cream cheese, pickles, tomato paste, steak sauce, mustard, onion powder, chili powder, and black pepper. Mix well to combine, breaking meat into smaller pieces.

Reduce heat to low; cook and stir until cream cheese is melted, about 3 minutes. Cover and cook soup for 25 minutes more.

Ladle soup into individual bowls. Divide lettuce between bowls and fold into soup. Crumble 1 slice of cooked bacon into each bowl and garnish with tomatoes and red onion.
"
424,,Mini Brownie Turkeys,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7074829.jpg,,"['1 serving nonstick cooking spray (such as BakeEasy®)', '¼ cup butter, softened', '½ cup white sugar', '1 egg', '½ teaspoon vanilla extract', '¼ cup all-purpose flour', '3 tablespoons unsweetened cocoa powder', '⅛ teaspoon baking powder', '⅛ teaspoon salt', '3 tablespoons butter, softened', '3 tablespoons unsweetened cocoa powder', '1 ½ tablespoons milk', '1 cup powdered sugar', ""12 red candy-coated chocolate pieces (such as M&M's®)"", '60 candy corn, or as needed', '24 eaches candy eyeballs']",0,12 mini brownies,"          200.8 calories;           1.5 g protein;           32.3 g carbohydrates;           33.6 mg cholesterol;           86 mg sodium.        Full Nutrition
",,,,,,"Preheat the oven to 350 degrees F (175 degrees C). Spray a 12-cup mini muffin tin with cooking spray.

Cream 1/4 cup butter and sugar together in a bowl with an electric mixer. Add egg and vanilla extract; mix well. Stir flour, cocoa powder, baking powder, and salt together in a separate bowl. Add flour mixture to butter mixture and mix until batter is smooth. Divide batter evenly among the prepared muffin cups.

Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 14 minutes. Cool in the tin for 5 minutes. Transfer to a wire rack and let cool, about 20 minutes.

Meanwhile, combine butter, cocoa powder, and milk in a bowl and mix with an electric mixer until smooth. Gradually add powdered sugar and mix until frosting is smooth and fluffy.

Spoon frosting in a piping bag fitted with a Wilton #10 tip. Pipe a circle of frosting near the bottom half of each mini brownie to create the turkey's head. Add two candy eyes. Add 1 red chocolate piece to form the beak. Pipe 5 lines of frosting in the shape of a semi-circle formation coming up from the head. Place a piece of candy corn on each of the 5 lines to form the turkey's feathers.
"
425,,Comforting Turkey Cobbler,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7002207.jpg,,"['1 tablespoon butter', '1 tablespoon all-purpose flour', '1 cup water', '½ cup milk', '1 teaspoon garlic base (such as Better Than Bouillon® Roasted Garlic Base)', '2 ½ cups cubed cooked turkey', '½ cup chopped carrots', '½ cup chopped celery', '¼ cup chopped onion', '¼ teaspoon dried oregano', '¼ teaspoon ground thyme', '¼ teaspoon dried parsley', '1 pinch salt and ground black pepper to taste', '1 serving nonstick cooking spray', '1 cup all-purpose flour', '1 ½ teaspoons baking powder', '½ teaspoon salt', '3 tablespoons butter', '½ cup milk', '1 pinch Italian seasoning', '1 pinch garlic granules']",0,6 servings,"          281.9 calories;           21.2 g protein;           21.8 g carbohydrates;           67.9 mg cholesterol;           566.1 mg sodium.        Full Nutrition
",,,,,,"Melt 1 tablespoon butter in a saucepan over medium heat. Whisk in 1 tablespoon flour to create a paste. Slowly add in water, stirring to incorporate. Stir in 1/2 cup milk and garlic base until mixture begins to bubble. Add turkey, carrots, celery, and onion and heat until warm, about 5 minutes. Mix in oregano, thyme,  parsley, salt, and pepper. Remove from the heat and set aside.

Preheat the oven to 375 degrees F (190 degrees C). Spray an 8x6-inch casserole dish with cooking spray.

Whisk together 1 cup flour, baking powder, and salt for cobbler topping in a bowl. Cut in 3 tablespoons butter until the mixture resembles coarse meal. Gradually stir in 1/2 cup milk until dough pulls away from the side of the bowl.

Pour turkey filling into the prepared casserole dish. Drop cobbler topping on top and sprinkle with Italian seasoning and garlic granules.

Bake in the preheated oven until cobbler topping is golden brown, about 25 minutes.
"
426,,Mom's Ginger Snaps,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5969369.jpg,,"['1 cup packed brown sugar', '¾ cup vegetable oil', '¼ cup molasses', '1 egg', '2 cups all-purpose flour', '2 teaspoons baking soda', '¼ teaspoon salt', '½ teaspoon ground cloves', '1 teaspoon ground cinnamon', '1 teaspoon ground ginger', '⅓ cup white sugar for decoration']",0,3 dozen,"          105.2 calories;           0.9 g protein;           15 g carbohydrates;           5.2 mg cholesterol;           90.8 mg sodium.        Full Nutrition
",,,,,,"Preheat oven to 375 degrees F (190 degrees C).

In a large bowl, mix together the brown sugar, oil, molasses, and egg. Combine the flour, baking soda, salt, cloves, cinnamon, and ginger; stir into the molasses mixture. Roll dough into 1 1/4 inch balls. Roll each ball in white sugar before placing 2 inches apart on ungreased cookie sheets.

Bake for 10 to 12 minutes in preheated oven, or until center is firm. Cool on wire racks.
"
427,,Beer Butt Chicken,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3706549.jpg,,"['1 cup butter', '2 tablespoons garlic salt', '2 tablespoons paprika', 'salt and pepper to taste', '1 (12 fluid ounce) can beer', '1 (4 pound) whole chicken']",0,8 servings,"          514.2 calories;           31.4 g protein;           3 g carbohydrates;           158 mg cholesterol;           1618.1 mg sodium.        Full Nutrition
",,,,,,"Preheat an outdoor grill for low heat.

In a small skillet, melt 1/2 cup butter. Mix in 1 tablespoon garlic salt, 1 tablespoon paprika, salt, and pepper.

Discard 1/2 the beer, leaving the remainder in the can. Add remaining butter, garlic salt, paprika, and desired amount of salt and pepper to beer can. Place can on a disposable baking sheet. Set chicken on can, inserting can into the cavity of the chicken. Baste chicken with the melted, seasoned butter.

Place baking sheet with beer and chicken on the prepared grill. Cook over low heat for about 3 hours, or until internal temperature of chicken reaches 180 degrees F (80 degrees C).
"
428,,Chicken-Bacon-Ranch Pasta Bake,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6882202.jpg,,"['1 serving cooking spray', '1 (16 ounce) package farfalle (bow tie) pasta', '½ cup butter', '1 (8 ounce) package cream cheese, cubed', '2 tablespoons ranch dressing mix', '2 cups milk', '1 (8 ounce) package shredded Monterey Jack cheese', '8 slices cooked bacon, divided', '2 cooked chicken breasts, shredded', '1 cup shredded Cheddar Jack cheese']",0,8 servings,"          785.9 calories;           40.5 g protein;           45.8 g carbohydrates;           163.4 mg cholesterol;           868 mg sodium.        Full Nutrition
",,,,,,"Preheat the oven to 350 degrees F (175 degrees C). Coat a 9x13 baking dish with cooking spray.

Bring a large pot of lightly salted water to a boil. Cook bow-tie pasta at a boil, stirring occasionally, until tender yet firm to the bite, about 12 minutes.

Meanwhile, melt butter in a saucepan over medium heat. Add cream cheese and ranch dressing mix; whisk until smooth. Slowly whisk in milk. Stir in Monterey Jack cheese; cook until cheese has melted and sauce has thickened, 5 to 10 minutes. Crumble 6 slices bacon and stir into sauce.

Combine cooked pasta and shredded chicken in a large bowl. Pour sauce on top and mix until well combined. Transfer to the prepared baking dish. Top with Cheddar Jack cheese and crumble remaining 2 slices of bacon on top.

Bake in the preheated oven until cheese has melted, about 20 minutes.
"
429,,Chicken Souvlaki Salad,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6899214.jpg,,"['1 tablespoon olive oil', '1 tablespoon Greek seasoning', '1 lemon, juiced', '2 cloves garlic, finely grated or minced', '1 pound boneless chicken breasts, quartered lengthwise', '6 tablespoons tzatziki sauce', '2 tablespoons olive oil', '2 tablespoons fresh lemon juice', '1 pinch salt', '1 head romaine, trimmed, washed and torn into bite-sized pieces', '½ cup thinly sliced red bell pepper', '½ English cucumber, sliced', '8 ounces cherry tomatoes, halved']",0,4 servings,"          287 calories;           26.8 g protein;           13.9 g carbohydrates;           64.6 mg cholesterol;           483.6 mg sodium.        Full Nutrition
",,,,,,"Combine 1 tablespoon olive oil, Greek seasoning, lemon juice, and garlic in a glass bowl; mix well. Add chicken to marinade and turn to coat. Marinate in the refrigerator for at least 2 hours, but not longer than 4 hours.

Mix tzatziki, 2 tablespoons olive oil, 2 tablespoons lemon juice, and salt in a small bowl. Refrigerate salad dressing until needed.

Preheat an outdoor grill for high heat and lightly oil the grate.

Place chicken pieces on the grill and cook for 5 minutes, turn, and grill until no longer pink in the center and the juices run clear, about 5 more minutes. An instant-read thermometer inserted into the centers should read at least 165 degrees F (74 degrees C).

Combine romaine lettuce, bell pepper, cucumber, and cherry tomatoes in a salad bowl. Drizzle with tzatziki dressing and toss to coat. Divide salad into 4 equal portions and top with cooked chicken.
"
430,,Instant Pot® Chicken Taco Soup,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7272876.jpg,,"['1 small onion, diced', '2 tablespoons butter', '1 clove garlic, minced', '3 cups chicken broth', '1 (4 ounce) boneless skinless chicken breast', '½ cup uncooked white rice', '1 (10 ounce) can roasted tomatoes with green chiles (such as Ro-Tel®)', '½ cup corn', '2 tablespoons taco seasoning', '½ teaspoon cumin', '1 pinch salt and ground black pepper to taste', '½ cup shredded Cheddar cheese']",0,5 servings,"          230.9 calories;           10.7 g protein;           24.7 g carbohydrates;           40.6 mg cholesterol;           1334.5 mg sodium.        Full Nutrition
",,,,,,"Turn on a multi-functional pressure cooker (such as Instant Pot&reg;) and select Saute function. Add onion and butter to the hot pot. Cook and stir until fragrant and onion has softened, about 3 minutes, adding garlic during the last 30 seconds. Remove onion mixture to a small bowl. Hit Cancel. Add chicken broth, chicken breast, and rice.

Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 10 minutes. Allow 10 to 15 minutes for pressure to build.

Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Remove chicken breast, and shred.

Add tomatoes and corn to the pot, along with shredded chicken. Close and lock the lid. Select high pressure according to manufacturer's instructions; set timer for 3 minutes. Allow 10 to 15 minutes for pressure to build.

Release pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid. Stir in reserved onion mixture, taco seasoning, cumin, salt, and pepper. Add Cheddar cheese and stir until melted.
"
431,,Crisp Oatmeal Cookies,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1024971.jpg,,"['½ cup shortening', '½ cup white sugar', '½ cup packed brown sugar', '1 egg', '½ teaspoon vanilla extract', '1 cup all-purpose flour', '½ teaspoon baking powder', '½ teaspoon baking soda', '½ teaspoon salt', '¾ cup rolled oats', '½ cup flaked coconut', '½ cup miniature semi-sweet chocolate chips']",0,4 dozen,"          127.4 calories;           1.3 g protein;           17.5 g carbohydrates;           7.8 mg cholesterol;           94.1 mg sodium.        Full Nutrition
",,,,,,"Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.

In a large bowl, cream together the shortening, white sugar and brown sugar. Mix in the egg and vanilla until well blended. Combine the flour, baking powder, baking soda and salt; stir into the batter until well blended. Mix in the oats, coconut and chocolate chips until evenly distributed. Roll dough into walnut sized balls and place 2 inches apart onto prepared cookie sheets.

Bake for 12 minutes in the preheated oven, or until edges are lightly browned.
"
432,,Tailgating Spicy Taco Cheese Ball,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F578010.jpg,,"['¾ cup dried parsley', '4 cups shredded Mexican cheese blend', '1 (8 ounce) package cream cheese, softened', '¼ cup mayonnaise', '1 (1.25 ounce) package hot taco seasoning mix (such as McCormick®)', '¼ cup pickled jalapeno peppers, chopped']",0,3 balls,"          285.5 calories;           11.9 g protein;           5.1 g carbohydrates;           65.4 mg cholesterol;           669 mg sodium.        Full Nutrition
",,,,,,"Sprinkle parsley in a shallow baking dish. Set aside.

Mix Mexican cheese blend, cream cheese, mayonnaise, taco seasoning, and jalapeno peppers in a large bowl until well blended. Divide the mixture into 3 portions, and roll each portion into a ball. Roll each ball in the parsley until completely covered. Wrap individually with plastic wrap, and refrigerate for at least 2 hours, or overnight.
"
433,,Corned Beef Hash & Egg Pastry Squares,,,,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4530387.jpg,,"['1 sheet frozen puff pastry', '1 (15 ounce) can HORMEL® Mary Kitchen® Corned Beef Hash', '1 cup shredded Swiss cheese, divided', '4 large eggs', 'salt and pepper to taste', '2 chopped green onions', 'Sriracha hot chili sauce (optional)']",70,4 pastry squares,"          676 calories;           45.4 g total fat;           236 mg cholesterol;           765 mg sodium.          41 g carbohydrates;           25.8 g protein;         Full Nutrition
",,,,,,"Thaw puff pastry sheet at room temperature until workable but still cold, about 30 minutes.
Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.
Heat a large skillet over medium high heat. Add corned beef hash. Cook and stir, breaking down larger pieces, until fat is rendered and hash is beginning to crisp up, about 15 minutes. and spread out. Transfer to a paper towel lined plate.
Unroll puff pastry onto a 2nd sheet of parchment paper lightly dusted with flour. Roll out to a (11x11-inch) square.  Cut into 4 square (5 1/2 x 5 1/2-inch) pieces.
Place squares on prepared baking sheet making sure they do not touch. Prick the center of each square several times with a fork. Bake in preheated oven 10 minutes. Pastry will have puffed in the middle. Gently press down the center of each pastry leaving a small puffed border around the edges.
Divide corned beef among the pastry squares leaving a 1/2-inch border. Top with 1/4 cup of Swiss cheese.  Arrange toppings to create a slight well in the center for the eggs.
Carefully crack an egg into the center of each square. Sprinkle with salt and pepper.
Bake until eggs are cooked to your preference, about 12 to 15 minutes.
Serve topped with chopped green onions and a drizzle of sriracha sauce."
